kant_CODE,kant_name,keskus_CODE,keskus_name,population,workers,share_to_center,top_pt_dest,n_trips_to_top,total_outbound_trips,n_trips_to_keskus,n_services_to_keskus,median_travel_time_min,avg_travel_time_min,min_travel_time_min,max_travel_time_min,first_departure_hour,last_departure_hour,service_span_hours,avg_frequency_min,am_peak_services,off_peak_services,hours_with_service,cv_hourly,pm_return_services,pm_return_hours_covered,prop_to_keskus,pt_matches_commute,has_pt_service,has_am_service,has_pm_return,return_feasible,is_center
K523,Põlva linn,K523,Põlva linn,NA,NA,NA,K083,21,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
K524,Päidre,K789,Viljandi linn,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
K525,Päinurme,K663,Tallinn,NA,NA,NA,K306,5,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K526,Päite,K118,Jõhvi linn,NA,NA,NA,K118,16,31,16,16,15,18.5,14,30,6,22,16,63.8,4,12,12,0.36927447293799825,4,3,0.5161290322580645,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K528,Päri,K789,Viljandi linn,NA,NA,NA,K789,31,42,31,31,13,17.2,6,40,5,23,18,35.8,8,23,16,0.4793335644130764,10,4,0.7380952380952381,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K529,Pärispea,K663,Tallinn,NA,NA,NA,K353,11,16,3,3,79,75.7,61,87,6,19,13,394,1,2,3,0,3,4,0.1875,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K530,Pärnjõe,K531,Pärnu linn,NA,NA,NA,K827,20,36,12,12,54,53.1,40,70,6,20,14,74.2,2,10,9,0.375,4,3,0.3333333333333333,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K533,Pärnu-Jaagupi,K531,Pärnu linn,NA,NA,NA,K532,29,52,26,26,28,29.8,22,81,6,22,16,38.2,5,21,17,0.40817279378444465,9,4,0.5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K532,Pärnu-Jaagupi alev,K531,Pärnu linn,NA,NA,NA,K533,29,36,17,17,26,29.5,21,101,6,20,14,51.5,4,13,12,0.36347904744313214,6,3,0.4722222222222222,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K531,Pärnu linn,K531,Pärnu linn,NA,NA,NA,K459,98,346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
K534,Pärsama,K270,Kuressaare linn,NA,NA,NA,K270,14,20,14,14,40,51.9,31,171,6,21,15,67,3,11,10,0.49943278484292947,5,2,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K535,Pärsti,K789,Viljandi linn,NA,NA,NA,K789,19,32,19,19,12,12.7,8,43,5,20,15,51,3,16,12,0.5008177649044795,4,3,0.59375,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K536,Päärdu,K663,Tallinn,NA,NA,NA,K417,9,15,3,3,69,70.3,68,74,8,21,13,399,0,3,3,0,1,1,0.2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
K537,Pöide,K270,Kuressaare linn,NA,NA,NA,K447,10,15,6,6,53.5,70.7,43,162,6,18,12,141.2,2,4,6,0,3,2,0.4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K538,Pürksi,K663,Tallinn,NA,NA,NA,K061,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K540,Raasiku,K663,Tallinn,NA,NA,NA,K663,20,39,20,20,31,37.2,30,59,5,21,16,49.9,4,16,14,0.529150262212918,5,4,0.5128205128205128,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K541,Rabivere,K663,Tallinn,NA,NA,NA,K065,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K542,Raikküla,K663,Tallinn,NA,NA,NA,K553,14,24,2,2,66,66,65,67,7,16,9,562,1,1,2,0,0,0,0.08333333333333333,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
K543,Raja,K663,Tallinn,NA,NA,NA,K403,18,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K544,Rakke,K663,Tallinn,NA,NA,NA,K115,7,26,4,4,104.5,108.2,98,126,7,22,15,301.3,1,3,4,0,1,2,0.15384615384615385,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K545,Rakvere linn,K545,Rakvere linn,NA,NA,NA,K774,57,198,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
K546,Ramsi,K789,Viljandi linn,NA,NA,NA,K789,18,18,18,18,16.5,17.4,10,27,5,23,18,61.8,2,16,17,0.22906142364542562,4,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K547,Randvere,K663,Tallinn,NA,NA,NA,K783,87,138,60,60,11,13.2,2,31,5,23,18,18.2,10,50,19,0.43857231902201227,16,4,0.43478260869565216,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K548,Randvere,K270,Kuressaare linn,NA,NA,NA,K270,14,20,14,14,7,13.5,5,96,7,20,13,61.3,5,9,10,0.49943278484292947,5,3,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K549,Ranna,K674,Tartu linn,NA,NA,NA,K154,10,20,6,6,72.5,75.3,68,86,6,16,10,123.8,2,4,6,0,2,2,0.3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K550,Rannapungerja,K663,Tallinn,NA,NA,NA,K096,7,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K552,Rannu,K674,Tartu linn,NA,NA,NA,K049,8,14,7,7,75,75.1,66,85,6,21,15,145.8,3,4,5,0.3912303982179758,2,1,0.5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
